id_number	City	State	ZipCode	Age	Company	Longitude	StreetAddress	Street Number	Latitude	lat_2
177	Pontiac	MI	48342	51	Kids Mart	-83.230279	1555 Hayhurst Lane	1555	42.685349	42
178	Dallas	TX	75202	45	J. Brannam	-96.750396	1730 Carolyns Circle	1730	32.779929	32
179	Los Angeles	CA	90017	34	Chargepal	-118.2384	3541 Par Drive	3541	34.100846	34
180	Traverse City	MI	49684	45	Foxmoor	-85.64981	2142 Owen Lane	2142	44.699091	44
181	Westminster	CO	80030	76	STM Auto Parts	-105.11301	524 Timberbrook Lane	524	39.808118	39
182	Charlotte	SC	28202	25	Matrix Architectural Service	-80.907707	2007 Pooh Bear Lane	2007	35.298679	35
183	Boise	ID	83702	40	Realty Zone	-116.252995	4418 Science Center Drive	4418	43.783565	43
184	Washington	DC	20005	48	American Wholesale Club	-77.059565	3120 Rhode Island Avenue	3120	38.896661	38
185	Brooklyn	NY	11206	51	The Great Train Stores	-74.035664	1983 Turkey Pen Road	1983	40.772174	40
186	Georgetown	CA	95634	54	Two Pesos	-120.735344	4852 Riverwood Drive	4852	38.85343	38
187	Huntsville	AL	35802	84	Brilliant Home Designs	-86.558324	2809 New Creek Road	2809	34.63215	34
188	Huntington	IN	46750	79	Thorofare	-85.386261	854 Windy Ridge Road	854	40.946432	40
189	San Antonio	TX	78205	79	Pay 'N Pak	-98.408347	941 Morris Street	941	29.402653	29
190	Lexington	KY	40505	49	Stratagee	-84.45831	3424 Straford Park	3424	38.081132	38
191	Roscoe	SD	57471	56	Circuit Design	-99.295647	3729 Elsie Drive	3729	45.471818	45
192	New York	NY	10011	29	Patterson-Fletcher	-73.969229	285 Redbud Drive	285	40.643797	40
193	Syracuse	NY	13204	45	Ransohoffs	-76.216281	4732 Gandy Street	4732	43.089715	43
194	Lubbock	TX	79401	51	Warshal's	-101.780892	2957 Smithfield Avenue	2957	33.510892	33
195	South Canaan	PA	18459	41	Wheels Discount Auto	-75.423303	1826 Carriage Lane	1826	41.439236	41
196	Westminster	CO	80030	32	Polk Brothers	-105.023485	1102 Logan Lane	1102	39.862464	39
197	San Jose	CA	95131	57	AM/PM Camp	-121.896299	3986 Ford Street	3986	37.452323	37
198	Minneapolis	MN	55406	19	Universal Design Partners	-93.279881	4417 Rocket Drive	4417	44.881939	44
199	Grand Rapids	MI	49503	29	Laughner's Cafeteria	-85.744987	2008 West Street	2008	42.9079	42
200	Myrtle Beach	SC	29577	23	You Are Successful	-78.809726	850 Poe Road	850	33.660913	33
201	West Palm Beach	FL	33410	47	Specific Appraisals	-80.2183	567 Holt Street	567	26.795505	26
202	Greenville	SC	29607	43	O.K. Fairbanks	-82.241182	3839 Pooh Bear Lane	3839	34.85703	34
203	Brooklyn	NY	11206	37	Warner Brothers Studio Store	-73.863024	1466 Pride Avenue	1466	40.690984	40
204	Winston Salem	NC	27107	51	Today's Man	-80.173204	1662 Jones Avenue	1662	36.037713	36
205	Los Angeles	CA	90017	70	Spaceage Stereo	-118.325021	3278 Creekside Lane	3278	33.983961	33
206	Saint Petersburg	FL	33714	70	Earl Abel's	-82.64913	3549 Maryland Avenue	3549	27.807515	27
207	Richardson	TX	75081	72	Eagle Hardware & Garden	-96.804767	283 Wilson Avenue	283	32.884342	32
208	Philadelphia	DE	19146	29	Wild Oats Markets	-75.255018	1733 Maud Street	1733	40.021896	40
209	Hurricane	UT	84737	27	WWW Realty	-112.976732	3367 Lang Avenue	3367	37.230129	37
210	Geneva	IL	60134	69	"Sounds Great, Inc"	-88.283747	4003 Kembery Drive	4003	41.882875	41
211	Camden	NJ	8102	45	Strategy Consulting	-75.030113	18 Whiteman Street	18	39.869775	39
212	Bedford	MA	1730	39	Poore Simon's	-71.200845	3861 Tenmile Road	3861	42.547931	42
213	Indian Mtn A.F.S.	AK	99519	27	Flexus	-153.678649	3821 Timbercrest Road	3821	66.040748	66
214	Dallas	TX	75247	41	Personal & Corporate Design	-96.912768	4060 Poco Mas Drive	4060	32.896326	32
215	Irvine	CA	92618	53	Service Merchandise	-117.662799	3492 Reynolds Alley	3492	33.627243	33
216	Houston	TX	77055	29	Master Builder Design Services	-95.579994	4216 Monroe Street	4216	29.86742	29
217	Delacroix	LA	70085	84	Courtesy Hardware Store	-89.742755	4635 Big Indian	4635	29.754497	29
218	Topeka	KS	66608	52	Prestiga-Biz	-95.757674	2614 Nicholas Street	2614	39.125374	39
219	Beltsville	DC	20705	47	Good Guys	-76.810999	2726 Hickory Lane	2726	39.048486	39
220	Tampa	FL	33602	62	Parade of Shoes	-82.463754	1642 Medical Center Drive	1642	27.987442	27
221	Omaha	NE	68114	73	Gemco	-96.048118	404 Poling Farm Road	404	41.213229	41
222	Boston	MA	2199	41	Incredible Universe	-71.011208	4872 Valley View Drive	4872	42.282682	42
223	Duluth	MN	55811	59	Kinney Shoes	-92.182899	3817 Eagle Lane	3817	46.870702	46
224	Blakely Island	WA	98222	19	Wealth Zone Group	-122.782007	2900 Terra Street	2900	48.547951	48
225	Kenner	LA	70062	19	Pantry Food Stores	-90.311857	530 Paul Wayne Haggerty Road	530	30.084594	30
226	Springdale	AR	72764	43	Dick Fischers	-94.063024	3582 Cambridge Court	3582	36.270298	36
227	Arlington Heights	IL	60004	65	Shoe Town	-88.061095	4511 Oak Avenue	4511	42.132414	42
228	Pittsburgh	PA	15219	54	Holly Tree Inn	-79.930348	1309 Spruce Drive	1309	40.436152	40
229	Candia	NH	3034	52	Maxi-Tech	-71.274161	1951 Grasselli Street	1951	43.04772	43
230	Robeline	LA	71469	39	Alpha Beta	-93.264667	1343 August Lane	1343	31.731397	31
231	Irvine	CA	92714	80	JumboSports	-117.870852	1665 Elk Street	1665	33.67489	33
232	Buhler	KS	67522	70	Terra Nova Garden Services	-97.734022	1536 Oliverio Drive	1536	38.067373	38
233	Dayton	OH	45402	48	Showbiz Pizza Place	-84.233931	3063 Ingram Street	3063	39.723172	39
234	Norcross	GA	30092	76	Kleinhans	-84.243366	107 Flint Street	107	33.975147	33
235	Anchorage	AK	99503	83	Burger Chef	-149.878176	2647 Jerry Toth Drive	2647	61.180023	61
236	Anaheim	CA	92805	77	Wild Oats Markets	-117.869913	4113 Elk Street	4113	33.865181	33
237	New Orleans	LA	70171	64	VitaGrey	-90.140226	4080 Woodland Avenue	4080	29.889278	29
238	Greenville	SC	29607	33	Fresh Start	-82.419068	1802 Mill Street	1802	34.780446	34
239	Palm Springs	CA	92262	60	Big Apple	-116.735747	2318 Wilson Street	2318	33.805321	33
240	Austin	TX	78704	65	Franklin Simon	-97.863493	1889 Bubby Drive	1889	30.202414	30
241	Albany	NY	12207	64	Delchamps	-73.696283	4628 Golden Ridge Road	4628	42.590524	42
242	Los Angeles	CA	90014	71	Tower Records	-118.289007	2713 Fincham Road	2713	34.043462	34
243	Burleson	TX	76028	78	Alpha Beta	-97.255975	771 Jones Street	771	32.448735	32
244	Buffalo Grove	IL	60089	76	Gamble-Skogmo	-87.985168	4087 Lewis Street	4087	42.111977	42
245	New York	NY	10022	26	Formula Grey	-73.915747	3624 Forest Avenue	3624	40.681664	40
246	Cicero	NY	13039	31	Olson Electronics	-76.028982	1207 Confederate Drive	1207	43.204068	43
247	Charlotte	NC	28202	35	Record World	-80.903746	3568 Goosetown Drive	3568	35.317829	35
248	Liberty	ME	4949	42	Destiny Planners	-69.289528	4127 Bloomfield Way	4127	44.368427	44
249	Gate City	VA	24251	47	Albers Super Markets	-82.683758	4952 Shady Pines Drive	4952	36.748897	36
250	Central Point	OR	97502	33	Borders Books	-122.962396	397 Buena Vista Avenue	397	42.393263	42
251	Needham	MA	2192	30	Webcom Business Services	-71.221899	4672 Romano Street	4672	42.199917	42
252	Crestline	CA	92322	21	The Royal Canadian Pancake Houses	-117.356195	261 Bel Meadow Drive	261	34.199802	34
253	Charlotte	NC	28273	22	Friendly Advice	-81.003607	4711 Snyder Avenue	4711	35.074029	35
254	Brenham	TX	77833	30	Gas Zone	-96.350404	2865 Adams Drive	2865	30.1318	30
255	Asheville	NC	28801	50	National Shirt Shop	-82.583649	221 Diamond Street	221	35.521499	35
256	Reidsville	NC	27320	46	Helios Air	-79.643823	3226 Ingram Road	3226	36.43732	36
257	Burr Ridge	IL	61257	20	Coconut's	-88.003967	681 Millbrook Road	681	41.670984	41
258	Dallas	TX	75202	28	Nobil	-96.737949	311 Carolyns Circle	311	32.77839	32
259	Ocala	FL	34471	21	Home Centers	-82.168286	4135 George Street	4135	29.174433	29
260	Branson	MO	65616	82	Just For Fun	-93.357421	533 Lighthouse Drive	533	36.683953	36
261	Santa Clara	CA	95050	77	Pearl Architectural Design	-121.986279	1800 Driftwood Road	1800	37.421418	37
262	Charlotte	NC	28202	71	Lazysize	-80.888416	1157 Swick Hill Street	1157	35.200064	35
263	Greenwood	MS	38930	74	MacMarr Stores	-90.082909	1419 Rafe Lane	1419	33.594951	33
264	Hoffman	MN	56339	72	J. K. Gill Company	-95.774154	1791 Red Hawk Road	1791	45.871553	45
265	Memphis	TN	38110	21	Magna Architectural Design	-90.019129	2218 Burton Avenue	2218	35.141972	35
266	Philadelphia	PA	19103	48	Beatties	-75.246685	3616 Quincy Street	3616	39.915533	39
267	Green Bay	WI	54302	34	Alladin's Lamp	-87.999221	4946 Highland Drive	4946	44.445754	44
268	Brooklyn	NY	11206	24	The White Rabbit	-73.865388	1943 Pride Avenue	1943	40.619174	40
269	Hickory Hills	IL	60457	54	Standard Brands Paint Company	-87.734977	4840 Johnstown Road	4840	41.810296	41
270	Ferndale	PA	18921	40	Magna Wealth	-75.150967	1945 Filbert Street	1945	40.616088	40
271	Duluth	GA	30136	53	Strawberries	-84.185657	2807 Layman Court	2807	34.10574	34
272	Tampa	FL	33610	56	Roadhouse Grill	-82.469038	4716 Medical Center Drive	4716	28.020227	28
273	Branchburg	NJ	8876	35	Veramons	-74.731197	4579 Mahlon Street	4579	40.557593	40
274	Lime Village	AK	99673	44	Egghead Software	-155.477488	4715 Jerry Toth Drive	4715	61.358111	61
275	Myrtle Beach	SC	29575	79	Mr Fables	-79.052183	1344 Poe Road	1344	33.63519	33
